System call,Windows XP (SP1),Windows XP (SP2),Windows Server 2003 (SP0),Windows Server 2003 (SP2),Windows Server 2003 (R2),Windows Server 2003 (R2 SP2),Windows Vista (SP0),Windows Vista (SP1),Windows Vista (SP2),Windows 7 (SP0),Windows 7 (SP1),Windows 8 (8.0),Windows 8 (8.1),Windows 10 (1507),Windows 10 (1511),Windows 10 (1607),Windows 10 (1703),Windows 10 (1709),Windows 10 (1803),Windows 10 (1809),Windows 10 (1903),Windows 10 (1909),Windows 10 (2004),Windows 10 (20H2),Windows 10 (21H1),Windows 10 (21H2),Windows 10 (22H2),Windows 11 and Server (Server 2022),Windows 11 and Server (11 21H2),Windows 11 and Server (11 22H2),Windows 11 and Server (11 23H2),Windows 11 and Server (Server 23H2),Windows 11 and Server (11 24H2),Windows 11 and Server (Server 2025),Windows 11 and Server (11 25H2)
NtDCompositionGetChannels,,,,,,,,,,,,0x1130,0x1135,0x113b,0x113d,0x1137,0x112e,0x112e,0x1130,0x1130,0x1130,0x1130,0x1130,0x1130,0x1130,0x1130,0x1130,0x112e,0x1127,0x1127,0x1127,0x1126,0x1128,0x1128,0x1127
NtDCompositionGetConnectionBatch,,,,,,,,,,,,,0x1136,0x113c,0x113e,0x1138,0x112f,0x112f,0x1131,0x1131,0x1131,0x1131,0x1131,0x1131,0x1131,0x1131,0x1131,0x112f,0x1128,0x1128,0x1128,0x1127,0x1129,0x1129,0x1128
NtDCompositionGetConnectionContextBatch,,,,,,,,,,,,0x1131,,,,,,,,,,,,,,,,,,,,,,,
NtDCompositionGetDeletedResources,,,,,,,,,,,,0x1132,0x1137,0x113d,0x113f,0x1139,0x1130,0x1130,0x1132,0x1132,0x1132,0x1132,0x1132,0x1132,0x1132,0x1132,0x1132,0x1130,0x1129,0x1129,0x1129,0x1128,0x112a,0x112a,0x1129
NtDCompositionGetFrameId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x112a,0x112a,0x112a,0x1129,0x112b,0x112b,0x112a
NtDCompositionGetFrameIdFromBatchId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x112b,0x112b,0x112b,0x112a,0x112c,0x112c,0x112b
NtDCompositionGetFrameLegacyTokens,,,,,,,,,,,,0x1133,0x1138,0x113e,0x1140,0x113a,0x1131,0x1131,0x1133,0x1133,0x1133,0x1133,0x1133,0x1133,0x1133,0x1133,0x1133,0x1131,0x112c,0x112c,0x112c,0x112b,0x112d,0x112d,0x112c
NtDCompositionGetFrameStatistics,,,,,,,,,,,,0x1134,0x1139,0x113f,0x1141,0x113b,0x1132,0x1132,0x1134,0x1134,0x1134,0x1134,0x1134,0x1134,0x1134,0x1134,0x1134,0x1132,0x112d,0x112d,0x112d,0x112c,0x112e,0x112e,0x112d
NtDCompositionGetFrameSurfaceUpdates,,,,,,,,,,,,0x1135,0x113a,0x1140,0x1142,0x113c,0x1133,0x1133,0x1135,0x1135,0x1135,0x1135,0x1135,0x1135,0x1135,0x1135,0x1135,0x1133,0x112e,0x112e,0x112e,0x112d,0x112f,0x112f,0x112e
NtDCompositionGetMaterialProperty,,,,,,,,,,,,,,,,,,,,0x1136,0x1136,0x1136,0x1136,0x1136,0x1136,0x1136,0x1136,0x1134,0x112f,0x112f,0x112f,,,,
